feature_number,y
V4,0.008481858
V27,0.006703757
V29,0.005540277
V20,0.005484701
V6,0.004090097
V34,0.003937742
V56,0.003669351
V63,0.003003472
V58,0.002877078
V37,0.002451369
V8,0.002181063
V30,0.002124098
V61,0.002120194
V24,0.001297443
V36,0.001248517
V49,0.001111099
V52,0.001089073
V64,0.001074226
V50,0.00102685
V19,0.00100524
V14,0.000849151
V22,0.000820576
V23,0.000730846
V18,0.000727273
V7,0.000691836
V32,0.000656277
V60,0.000632404
V13,0.000559777
V44,0.000507758
V25,0.000480519
V35,0.000342729
V17,0.00033639
V15,0.000226681
V31,0.000127162
V39,0.000125945
V59,0.000121979
V57,0.000115152
V10,9.28E-05
V48,8.31E-05
V12,5.02E-05
V33,0
V42,0
V55,0
V2,-1.87E-05
V38,-3.19E-05
V51,-3.52E-05
V46,-0.000134719
V5,-0.000156218
V21,-0.000157333
V47,-0.000168908
V54,-0.000272727
V11,-0.000311688
V16,-0.000326886
V26,-0.000475411
V28,-0.000973256
V9,-0.001088271
V62,-0.001163636
V41,-0.001165959
V45,-0.001297372
V40,-0.001502117
V43,-0.001530277
V1,-0.002039427
V53,-0.002087361
V65,-0.002124703
V66,-0.003227937
V3,-0.004183991
